# GOB-Bench: GeoBind Object Binding Benchmark
# 200 object binding prompts across 4 difficulty levels
# Format: [LEVEL] prompt
#
# Object binding: each object has sub-objects/accessories that must
# be correctly associated (e.g., "hat" belongs to "dog", not "cat")
#
# Easy (60 prompts): 2 objects, 1 sub-object each
# Medium (60 prompts): 2 objects, 2 sub-objects each
# Hard (40 prompts): 3 objects, 1-2 sub-objects each
# Complex (40 prompts): 4+ objects with sub-objects

# ============================================================
# EASY (2 objects, 1 sub-object each) — 60 prompts
# ============================================================
[Easy] a cat with sunglasses and a dog with a hat
[Easy] a dog with a scarf and a cat with a collar
[Easy] a boy with glasses and a girl with earrings
[Easy] a man with a hat and a woman with a necklace
[Easy] a cat with a bow tie and a dog with a bandana
[Easy] a fox with sunglasses and a deer with a crown
[Easy] a bear with a hat and a rabbit with a scarf
[Easy] a tiger with glasses and a lion with a crown
[Easy] a boy with a cape and a girl with a tiara
[Easy] a lion with a crown and a sheep with a scarf
[Easy] a cat with a bell and a rabbit with glasses
[Easy] a man with a watch and a woman with a bracelet
[Easy] a owl with glasses and a parrot with a hat
[Easy] a monkey with a hat and a elephant with glasses
[Easy] a girl with a necklace and a boy with a watch
[Easy] a penguin with a scarf and a panda with a hat
[Easy] a horse with a mask and a dog with a cape
[Easy] a wolf with a crown and a fox with a scarf
[Easy] a man with a tie and a woman with a hat
[Easy] a parrot with a crown and a owl with a monocle
[Easy] a cat with a cape and a dog with a vest
[Easy] a bear with sunglasses and a deer with a hat
[Easy] a girl with a headband and a boy with glasses
[Easy] a tiger with a crown and a bear with a bow tie
[Easy] a rabbit with a hat and a squirrel with a scarf
[Easy] a woman with glasses and a man with a scarf
[Easy] a dog with a tie and a cat with a collar
[Easy] a elephant with a hat and a monkey with sunglasses
[Easy] a fox with glasses and a wolf with a hat
[Easy] a boy with a helmet and a girl with a crown
[Easy] a duck with a hat and a penguin with a bow tie
[Easy] a cat with a crown and a dog with a necklace
[Easy] a man with a helmet and a woman with glasses
[Easy] a horse with a hat and a dog with a vest
[Easy] a panda with sunglasses and a bear with a hat
[Easy] a girl with a hat and a boy with a scarf
[Easy] a lion with a hat and a tiger with a scarf
[Easy] a cat with glasses and a rabbit with a bow tie
[Easy] a woman with a necklace and a girl with a ring
[Easy] a owl with a hat and a parrot with a scarf
[Easy] a man with sunglasses and a boy with a hat
[Easy] a dog with a crown and a cat with a cape
[Easy] a deer with glasses and a fox with a hat
[Easy] a bear with a scarf and a wolf with glasses
[Easy] a squirrel with a hat and a monkey with glasses
[Easy] a woman with a hat and a man with a tie
[Easy] a corgi with a hat and a cat with sunglasses
[Easy] a tiger with a hat and a bear with a crown
[Easy] a girl with glasses and a boy with a bow tie
[Easy] a elephant with a crown and a horse with a hat
[Easy] a mouse with glasses and a hamster with a hat
[Easy] a frog with a crown and a turtle with glasses
[Easy] a cow with a bell and a pig with a scarf
[Easy] a giraffe with sunglasses and a zebra with a hat
[Easy] a koala with a scarf and a raccoon with glasses
[Easy] a seal with a hat and a otter with a bow tie
[Easy] a chicken with a hat and a duck with a scarf
[Easy] a dolphin with sunglasses and a whale with a hat
[Easy] a goat with a bell and a sheep with a ribbon
[Easy] a husky with a bandana and a poodle with a bow

# ============================================================
# MEDIUM (2 objects, 2 sub-objects each) — 60 prompts
# ============================================================
[Medium] a cat with sunglasses and a scarf, and a dog with a hat and a tie
[Medium] a boy with glasses and a watch, and a girl with earrings and a necklace
[Medium] a man with a hat and a briefcase, and a woman with a necklace and a purse
[Medium] a dog with a collar and a cape, and a cat with a bow tie and glasses
[Medium] a lion with a crown and a cape, and a tiger with glasses and a scarf
[Medium] a fox with sunglasses and a hat, and a rabbit with a scarf and a bell
[Medium] a bear with a hat and a vest, and a wolf with a scarf and glasses
[Medium] a monkey with a hat and sunglasses, and a elephant with glasses and a scarf
[Medium] a boy with a helmet and a cape, and a girl with a tiara and a wand
[Medium] a penguin with a hat and a bow tie, and a panda with sunglasses and a scarf
[Medium] a man with a tie and a watch, and a woman with a hat and earrings
[Medium] a cat with a bell and a ribbon, and a dog with a bandana and a collar
[Medium] a owl with glasses and a scarf, and a parrot with a crown and a necklace
[Medium] a horse with a mask and a cape, and a deer with a crown and a bell
[Medium] a girl with a headband and a bracelet, and a boy with a hat and a backpack
[Medium] a tiger with a crown and a vest, and a lion with a scarf and a medal
[Medium] a duck with a hat and a bow tie, and a swan with a crown and a necklace
[Medium] a woman with glasses and a scarf, and a man with a hat and a cane
[Medium] a cat with a crown and a cape, and a rabbit with glasses and a hat
[Medium] a dog with sunglasses and a bandana, and a fox with a scarf and glasses
[Medium] a bear with a hat and a backpack, and a panda with a scarf and sunglasses
[Medium] a squirrel with a hat and a acorn, and a chipmunk with a scarf and a nut
[Medium] a man with sunglasses and a guitar, and a woman with a hat and a violin
[Medium] a boy with a cape and a shield, and a girl with a crown and a scepter
[Medium] a parrot with a hat and a ring, and a owl with glasses and a book
[Medium] a wolf with a crown and a cape, and a fox with a mask and a hat
[Medium] a cow with a bell and a hat, and a pig with a scarf and a bow
[Medium] a horse with a saddle and a hat, and a donkey with a scarf and a bell
[Medium] a cat with a hat and a wand, and a dog with a cape and a mask
[Medium] a giraffe with sunglasses and a scarf, and a zebra with a hat and a bow tie
[Medium] a man with a monocle and a top hat, and a woman with a fan and a tiara
[Medium] a frog with a crown and a cape, and a turtle with glasses and a hat
[Medium] a boy with a backpack and a cap, and a girl with a purse and sunglasses
[Medium] a elephant with a hat and a scarf, and a hippo with sunglasses and a necklace
[Medium] a penguin with a scarf and a hat, and a seal with sunglasses and a ball
[Medium] a koala with a hat and a scarf, and a kangaroo with sunglasses and a pouch
[Medium] a chicken with a hat and a necklace, and a rooster with a crown and a cape
[Medium] a mouse with glasses and a hat, and a hamster with a bow tie and a wheel
[Medium] a man with a badge and a hat, and a woman with a scarf and a brooch
[Medium] a dog with a hat and a leash, and a cat with a collar and a bell
[Medium] a lion with a mane ribbon and a crown, and a cheetah with sunglasses and a collar
[Medium] a robot with a hat and glasses, and an astronaut with a badge and a helmet
[Medium] a pirate with an eyepatch and a hat, and a knight with a shield and a helmet
[Medium] a chef with a hat and an apron, and a waiter with a bow tie and a vest
[Medium] a wizard with a hat and a wand, and a witch with a broom and a hat
[Medium] a king with a crown and a scepter, and a queen with a tiara and a fan
[Medium] a cowboy with a hat and a lasso, and a sheriff with a badge and a hat
[Medium] a ninja with a mask and a sword, and a samurai with a helmet and a katana
[Medium] a clown with a hat and a nose, and a juggler with balls and a hat
[Medium] a sailor with a hat and a telescope, and a captain with a cap and a compass
